epoch	time	lr	train loss	train acc	testloss	test acc
0	35.2	0.1	2.49	10.1	2.3	10.3
1	35.8	0.1	2.3	11.5	2.29	12.0
2	36.2	0.1	2.19	17.4	2.2	17.9
3	37.3	0.1	1.94	27.2	1.91	31.0
4	37.7	0.1	1.81	32.9	1.74	37.0
5	37.9	0.1	1.72	36.2	1.78	35.6
6	37.9	0.1	1.65	38.9	1.62	40.6
7	38.1	0.1	1.61	40.8	1.58	42.5
8	38.2	0.1	1.55	43.1	1.54	43.4
9	38.3	0.1	1.51	45.0	1.54	44.3
10	38.3	0.1	1.47	46.3	1.47	47.3
11	38.3	0.1	1.44	47.8	1.5	46.7
12	38.4	0.1	1.4	49.5	1.47	47.9
13	38.4	0.1	1.38	50.2	1.36	51.1
14	38.4	0.1	1.35	51.6	1.37	51.5
15	38.3	0.1	1.32	52.3	1.43	50.1
16	38.4	0.1	1.31	53.2	1.35	51.5
17	38.4	0.1	1.29	53.9	1.36	52.6
18	38.3	0.1	1.27	54.4	1.28	54.0
19	38.2	0.1	1.25	55.1	1.27	55.0
20	38.6	0.1	1.24	55.4	1.31	53.4
21	38.4	0.1	1.22	56.5	1.24	55.8
22	38.4	0.1	1.21	56.7	1.24	56.0
23	38.3	0.1	1.2	57.2	1.25	55.6
24	38.3	0.1	1.19	57.6	1.25	55.8
25	38.3	0.1	1.19	57.6	1.3	54.5
26	38.3	0.1	1.17	58.4	1.21	56.8
27	38.3	0.1	1.16	58.7	1.31	54.9
28	38.4	0.1	1.16	58.5	1.18	57.9
29	38.3	0.1	1.14	59.1	1.2	57.2
30	38.3	0.010000000000000002	1.08	61.5	1.09	62.0
31	38.4	0.010000000000000002	1.05	62.6	1.07	62.1
32	38.3	0.010000000000000002	1.04	62.8	1.08	62.0
33	38.3	0.010000000000000002	1.03	63.1	1.06	63.2
34	38.2	0.010000000000000002	1.03	63.0	1.07	61.8
35	38.4	0.010000000000000002	1.02	63.5	1.07	62.3
36	38.2	0.010000000000000002	1.02	63.6	1.07	62.7
37	38.3	0.010000000000000002	1.02	63.4	1.07	62.1
38	38.1	0.010000000000000002	1.02	63.8	1.08	61.8
39	38.3	0.010000000000000002	1.01	64.0	1.08	62.2
40	38.5	0.010000000000000002	1.01	64.1	1.06	62.5
41	38.3	0.010000000000000002	1.01	63.9	1.07	62.2
42	38.2	0.010000000000000002	1.01	64.2	1.07	62.3
43	38.3	0.010000000000000002	1.0	64.3	1.05	63.5
44	38.2	0.010000000000000002	1.0	64.5	1.06	63.0
45	38.3	0.010000000000000002	0.997	64.5	1.05	63.0
46	38.2	0.010000000000000002	0.997	64.5	1.05	62.9
47	38.3	0.010000000000000002	0.998	64.3	1.04	63.4
48	38.4	0.010000000000000002	0.986	64.7	1.05	63.0
49	38.4	0.010000000000000002	0.99	64.9	1.04	63.4
50	38.4	0.010000000000000002	0.989	65.0	1.06	62.4
51	38.4	0.010000000000000002	0.988	64.9	1.05	63.2
52	38.2	0.010000000000000002	0.986	64.8	1.05	63.0
53	38.4	0.010000000000000002	0.98	65.5	1.05	63.6
54	38.3	0.010000000000000002	0.981	65.2	1.05	63.0
55	38.4	0.010000000000000002	0.982	65.0	1.05	63.0
56	38.3	0.010000000000000002	0.973	65.3	1.04	63.7
57	38.3	0.010000000000000002	0.974	65.3	1.04	63.6
58	38.6	0.010000000000000002	0.966	65.3	1.05	63.1
59	38.3	0.010000000000000002	0.966	65.4	1.04	63.5
60	38.5	0.0010000000000000002	0.957	65.9	1.03	64.0
61	38.4	0.0010000000000000002	0.951	66.3	1.03	63.9
62	38.4	0.0010000000000000002	0.947	66.4	1.03	64.0
63	38.4	0.0010000000000000002	0.949	66.2	1.03	63.5
64	38.3	0.0010000000000000002	0.942	66.7	1.03	63.9
65	38.3	0.0010000000000000002	0.944	66.4	1.02	64.2
66	38.3	0.0010000000000000002	0.94	66.4	1.03	64.6
67	38.5	0.0010000000000000002	0.942	66.5	1.03	63.8
68	38.4	0.0010000000000000002	0.939	66.4	1.01	64.2
69	38.5	0.0010000000000000002	0.94	66.6	1.03	64.0
70	38.4	0.0010000000000000002	0.939	66.7	1.04	63.4
71	38.4	0.0010000000000000002	0.939	66.6	1.02	64.0
72	38.4	0.0010000000000000002	0.942	66.4	1.02	63.8
73	38.5	0.0010000000000000002	0.939	66.7	1.02	63.8
74	38.4	0.0010000000000000002	0.934	66.6	1.02	63.8
75	38.4	0.0010000000000000002	0.942	66.5	1.02	64.0
76	38.3	0.0010000000000000002	0.941	66.7	1.02	63.9
77	38.5	0.0010000000000000002	0.938	66.8	1.02	63.9
78	38.5	0.0010000000000000002	0.934	66.7	1.02	63.9
79	38.5	0.0010000000000000002	0.937	66.8	1.02	64.5
80	38.4	0.0010000000000000002	0.937	66.5	1.01	64.5
81	38.4	0.0010000000000000002	0.937	66.8	1.03	64.0
82	38.4	0.0010000000000000002	0.937	66.5	1.02	64.0
83	38.6	0.0010000000000000002	0.935	66.8	1.03	63.6
84	38.2	0.0010000000000000002	0.936	66.8	1.02	64.2
85	37.7	0.0010000000000000002	0.941	66.7	1.03	63.6
86	37.2	0.0010000000000000002	0.934	66.8	1.03	63.9
87	37.1	0.0010000000000000002	0.933	66.6	1.01	64.4
88	37.3	0.0010000000000000002	0.938	66.5	1.03	64.0
89	37.1	0.0010000000000000002	0.939	66.5	1.03	63.8
